iter	Passed	Remaining
800	2143	532
801	2144	529
802	2145	526
803	2147	523
804	2151	521
805	2152	518
806	2154	515
807	2155	512
808	2156	509
809	2158	506
810	2159	503
811	2161	500
812	2164	497
813	2166	495
814	2168	492
815	2169	489
816	2170	486
817	2172	483
818	2174	480
819	2175	477
820	2177	474
821	2180	472
822	2181	469
823	2183	466
824	2184	463
825	2185	460
826	2187	457
827	2188	454
828	2190	451
829	2194	449
830	2195	446
831	2197	443
832	2198	440
833	2199	437
834	2201	434
835	2202	432
836	2204	429
837	2205	426
838	2209	424
839	2211	421
840	2212	418
841	2213	415
842	2215	412
843	2216	409
844	2218	406
845	2219	404
846	2222	401
847	2225	398
848	2226	395
849	2227	393
850	2230	390
851	2231	387
852	2233	384
853	2235	382
854	2238	379
855	2239	376
856	2241	373
857	2242	371
858	2244	368
859	2245	365
860	2247	362
861	2248	359
862	2252	357
863	2254	354
864	2255	352
865	2256	349
866	2258	346
867	2259	343
868	2261	340
869	2262	338
870	2266	335
871	2268	332
872	2269	330
873	2270	327
874	2272	324
875	2273	321
876	2275	319
877	2277	316
878	2281	314
879	2283	311
880	2284	308
881	2286	305
882	2287	303
883	2288	300
884	2290	297
885	2291	294
886	2294	292
887	2297	289
888	2298	287
889	2300	284
890	2301	281
891	2303	278
892	2304	276
893	2305	273
894	2308	270
895	2312	268
896	2313	265
897	2315	263
898	2318	260
899	2319	257
900	2321	255
901	2324	252
902	2326	249
903	2328	247
904	2329	244
905	2331	241
906	2332	239
907	2334	236
908	2335	233
909	2339	231
910	2341	228
911	2342	226
912	2344	223
913	2345	220
914	2346	218
915	2348	215
916	2350	212
917	2353	210
918	2355	207
919	2357	204
920	2358	202
921	2360	199
922	2361	197
923	2363	194
924	2364	191
925	2366	189
926	2369	186
927	2370	183
928	2372	181
929	2373	178
930	2374	176
931	2376	173
932	2377	170
933	2378	168
934	2382	165
935	2384	163
936	2385	160
937	2387	157
938	2388	155
939	2390	152
940	2391	149
941	2392	147
942	2394	144
943	2397	142
944	2401	139
945	2406	137
946	2409	134
947	2413	132
948	2416	129
949	2418	127
950	2419	124
951	2421	122
952	2423	119
953	2426	117
954	2428	114
955	2429	111
956	2431	109
957	2432	106
958	2433	104
959	2435	101
960	2436	98
961	2440	96
962	2442	93
963	2443	91
964	2445	88
965	2446	86
966	2448	83
967	2449	80
968	2451	78
969	2455	75
970	2457	73
971	2458	70
972	2460	68
973	2462	65
974	2463	63
975	2464	60
976	2470	58
977	2472	55
978	2474	53
979	2476	50
980	2477	47
981	2479	45
982	2481	42
983	2487	40
984	2489	37
985	2490	35
986	2492	32
987	2495	30
988	2501	27
989	2503	25
990	2505	22
991	2507	20
992	2508	17
993	2510	15
994	2514	12
995	2516	10
996	2518	7
997	2520	5
998	2522	2
999	2524	0
